club,player,url
RCD Mallorca,Sergi Darder,https://en.soccerwiki.org/player.php?pid=67991
RCD Mallorca,Martin Valjent,https://en.soccerwiki.org/player.php?pid=69291
RCD Mallorca,Takuma Asano,https://en.soccerwiki.org/player.php?pid=71534
RCD Mallorca,Vedat Muriqi,https://en.soccerwiki.org/player.php?pid=78618
RCD Mallorca,Cyle Larin,https://en.soccerwiki.org/player.php?pid=80171
RCD Mallorca,Pablo Maffeo,https://en.soccerwiki.org/player.php?pid=82837
RCD Mallorca,Toni Lato,https://en.soccerwiki.org/player.php?pid=84382
RCD Mallorca,Manu Morlanes,https://en.soccerwiki.org/player.php?pid=88038
RCD Mallorca,Dominik Greif,https://en.soccerwiki.org/player.php?pid=94172
RCD Mallorca,Robert Navarro,https://en.soccerwiki.org/player.php?pid=96374
RCD Mallorca,Mateu Morey,https://en.soccerwiki.org/player.php?pid=99085
RCD Mallorca,Valery Fernández,https://en.soccerwiki.org/player.php?pid=99859
RCD Mallorca,Antonio Sánchez,https://en.soccerwiki.org/player.php?pid=102352
RCD Mallorca,Samú Costa,https://en.soccerwiki.org/player.php?pid=105448
RCD Mallorca,Francisco Chiquinho,https://en.soccerwiki.org/player.php?pid=107365
RCD Mallorca,José Copete,https://en.soccerwiki.org/player.php?pid=113575
RCD Mallorca,Leo Román,https://en.soccerwiki.org/player.php?pid=115094
RCD Mallorca,David López,https://en.soccerwiki.org/player.php?pid=140558
RCD Mallorca,Marc Domènech,https://en.soccerwiki.org/player.php?pid=152049
RCD Mallorca,Siebe van der Heyden,https://en.soccerwiki.org/player.php?pid=88070
RCD Mallorca,Daniel Luna,https://en.soccerwiki.org/player.php?pid=111147
RCD Mallorca,Javi Llabrés,https://en.soccerwiki.org/player.php?pid=118994
RCD Mallorca,Rimvydas Kiriejevas,https://en.soccerwiki.org/player.php?pid=136912
RCD Mallorca,Pau Mascaró,https://en.soccerwiki.org/player.php?pid=144948
RCD Mallorca,Saifdine Chlaghmo,https://en.soccerwiki.org/player.php?pid=151742
RCD Mallorca,Jan Salas,https://en.soccerwiki.org/player.php?pid=152104
RCD Mallorca,Sebas Wade,https://en.soccerwiki.org/player.php?pid=153993
RCD Mallorca,Pere García,https://en.soccerwiki.org/player.php?pid=158331
Real Betis,Ricardo Rodríguez,https://en.soccerwiki.org/player.php?pid=44912
Real Betis,Alarcón Isco,https://en.soccerwiki.org/player.php?pid=45455
Real Betis,Cédric Bakambu,https://en.soccerwiki.org/player.php?pid=45490
